Date,Task,Clock In,Clock Out,Elapsed,Total
3/29/2017,STEP-211,8:30 AM,9:30 AM,1:00:00,30:30:00
3/29/2017,CLIN-231,9:30 AM,10:00 AM,0:30:00,
3/29/2017,STEP-229,10:00 AM,11:00 AM,1:00:00,
3/29/2017,STEP-231,11:00 AM,1:00 PM,2:00:00,
3/29/2017,STEP-230,1:00 PM,2:45 PM,1:45:00,
3/29/2017,STEP-232,2:45 PM,4:15 PM,1:30:00,
3/29/2017,STEP-233,4:15 PM,5:15 PM,1:00:00,
3/30/2017,CLIN-231,4:30 PM,4:45 PM,0:15:00,
3/31/2017,CLIN-232,9:45 AM,11:15 AM,1:30:00,
3/31/2017,CLIN-233,11:15 AM,1:15 PM,2:00:00,
3/31/2017,STEP-231,1:15 PM,2:15 PM,1:00:00,
3/31/2017,CLIN-208,2:15 PM,4:15 PM,2:00:00,
3/31/2017,CLIN-214,4:15 PM,6:00 PM,1:45:00,
4/3/2017,CLIN-214,8:00 AM,9:30 AM,1:30:00,
4/5/2017,STEP-234,10:00 AM,10:30 AM,0:30:00,
4/5/2017,CLIN-209,11:00 AM,3:00 PM,4:00:00,
4/5/2017,CLIN-210,3:00 PM,3:30 PM,0:30:00,
4/6/2017,CLIN-234,8:30 AM,9:00 AM,0:30:00,
4/6/2017,CLIN server backup,2:00 PM,2:30 PM,0:30:00,
4/6/2017,STEP Call,3:00 PM,4:00 PM,1:00:00,
4/7/2017,CLIN-208,8:45 AM,10:00 AM,1:15:00,
4/7/2017,CLIN-208,12:00 PM,12:30 PM,0:30:00,
4/7/2017,STEP-236,2:00 PM,3:15 PM,1:15:00,
4/7/2017,STEP-216,3:15 PM,3:30 PM,0:15:00,
4/7/2017,STEP-217,3:30 PM,4:30 PM,1:00:00,
4/7/2017,CLIN-239,4:30 PM,5:00 PM,0:30:00,
